text,intent,language,screen,action_type,source
I have external or human causes,select_external_or_human_causes,en,electricity_board_report,select_board_category,template
meteren pupuru gahanawa issue eka,select_sparks_from_meter,si_latin,safety_related_issues,select_issue,template
මට meter reading waradi වාර්තා කරන්න,select_faulty_meter_reading,mixed_script,monitoring_device_issues,select_issue,mixed_ro_alias
please view issue details open karanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
rain damage report karanna,select_weather_related_damage,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
I want to report sparking meter,select_sparks_from_meter,en,safety_related_issues,select_issue,template
there is short circuit,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
burning smell eka issue eka,select_burning_smell,si_latin,safety_related_issues,select_issue,template
please main screen open karanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
available technicians hoyanna karanna,confirm_location_technician,si_latin,technician_flow,action,template
technician location confirm karanna option eka tap karanna please,confirm_location_technician,noisy_mixed,technician_flow,action,noise
මට pichchena suwada වාර්තා කරන්න,select_burning_smell,mixed_script,safety_related_issues,select_issue,mixed_ro_alias
mata electric shock risk report karanna,select_electric_shock_risk,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
substation failure,select_substation_issues,en,electricity_board_report,select_board_category,direct
shock risk issue,select_electric_shock_risk,en,safety_related_issues,select_issue,template
external or human causes issue,select_external_or_human_causes,en,electricity_board_report,select_board_category,template
do take a photo,add_photo,en,report_flow,action,template
device connectivity issue,select_device_connectivity,en,monitoring_device_issues,select_issue,template
mata damaged power lines report karanna,select_damaged_power_lines,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
use over voltage,select_high_voltage,en,voltage_technical_issues,select_issue,template
mata logout one,logout,mixed_latin,account,action,mixed_en_alias
please service history open karanna,open_activities,mixed_latin,bottom_navigation,navigation,mixed_en_alias
intermittent supply issue eka,select_intermittent_supply,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
go back pennanna,go_back,mixed_latin,global,navigation,mixed_en_alias
please next ekata yanna karanna,continue_next,si_latin,report_flow,action,template
report pole damaged,select_pole_issues,en,electricity_board_report,select_board_category,template
please change to Sinhala karanna,change_language,mixed_latin,account,action,mixed_en_alias
total power outage,select_complete_power_outage,en,power_supply_issues,select_issue,direct
please select complete blackout,select_complete_power_outage,en,power_supply_issues,select_issue,template
issue eka submit karanna,confirm_location_and_report_issue,si_latin,electricity_board_flow,action,direct
electric pole fallen,select_fallen_pole,en,infrastructure_issues,select_issue,direct
device issues eka tap karanna,open_monitoring_device_issues,mixed_latin,home,navigation,mixed_en_alias
select home,go_home,en,bottom_navigation,navigation,template
I want to report unauthorized connections,select_external_or_human_causes,en,electricity_board_report,select_board_category,template
shock risk eka problem ekak thiyenawa,select_electric_shock_risk,si_latin,safety_related_issues,select_issue,template
කරුණාකර ඉදිරියට යන්න,continue_next,si_script,report_flow,action,template
please cancel service request,cancel_request,en,technician_flow,action,template
open activity details open karanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
can you open back,go_back,en,global,navigation,template
please select service line damage,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
tap bare wires,select_exposed_wiring,en,safety_related_issues,select_issue,template
tap change to Sinhala,change_language,en,account,action,template
powerlink continue karanna button eka press karanna,continue_next,noisy_mixed,report_flow,action,noise
choose meter burning,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
open view activities,view_activities,en,success_dialog,navigation,template
there is investigation required,select_unknown_investigation_required,en,electricity_board_report,select_board_category,template
ane press find available technicians,find_available_technicians,noisy_mixed,technician_flow,action,noise
mark substation failure,select_substation_issues,en,electricity_board_report,select_board_category,template
report power suddenly went off,select_sudden_power_loss,en,power_supply_issues,select_issue,template
choose damaged meter box,select_broken_meter_box,en,infrastructure_issues,select_issue,template
power line damage problem ekak thiyenawa,select_damaged_power_lines,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
choose pole leaning,select_pole_issues,en,electricity_board_report,select_board_category,template
view activities,view_activities,en,success_dialog,navigation,direct
fire hazards,open_safety_related_issues,en,home,navigation,direct
choose විදුලි රැහැන් හානිය,select_damaged_power_lines,mixed_script,infrastructure_issues,select_issue,mixed_si_alias
මට නිරාවරණය වූ වයර් වාර්තා කරන්න,select_exposed_wiring,si_script,safety_related_issues,select_issue,template
activity history ekata yanna,open_activities,mixed_latin,bottom_navigation,navigation,mixed_en_alias
report to electricity board select karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
machan location eka search karanna කරන්න,search_location,noisy_mixed,location,action,noise
take me to dashboard,go_home,en,bottom_navigation,navigation,template
පැතිකඩ සංස්කරණය කරන්න තෝරන්න,open_profile_settings,si_script,account,navigation,template
profile edit karanna තෝරන්න,open_profile_settings,mixed_script,account,navigation,mixed_ro_alias
high voltage eka issue eka,select_high_voltage,si_latin,voltage_technical_issues,select_issue,template
මට activity details open karanna විවෘත කරන්න,open_activity_details,mixed_script,activities,navigation,mixed_ro_alias
account eken yanna,logout,si_latin,account,action,direct
device issues eka පිටුවට යන්න,open_monitoring_device_issues,mixed_script,home,navigation,mixed_ro_alias
ස්මාර්ට් මීටර් ගැටළුව වාර්තා කරන්න,select_smart_meter_issue,si_script,monitoring_device_issues,select_issue,template
my issue is storm damage,select_weather_related_damage,en,electricity_board_report,select_board_category,template
mata meter eken sparks report karanna,select_sparks_from_meter,si_latin,safety_related_issues,select_issue,template
මට profile edit karanna විවෘත කරන්න,open_profile_settings,mixed_script,account,navigation,mixed_ro_alias
report smart meter fault,select_smart_meter_issue,en,monitoring_device_issues,select_issue,template
scheduled power cut eka,select_scheduled_power_cut,si_latin,power_supply_issues,select_issue,direct
infrastructure issues pennanna,open_infrastructure_issues,mixed_latin,home,navigation,mixed_en_alias
do upload photo,add_photo,en,report_flow,action,template
kunu getalu,select_pole_issues,si_latin,electricity_board_report,select_board_category,direct
show me open about us,open_about_us,en,account,navigation,template
over voltage issue,select_high_voltage,en,voltage_technical_issues,select_issue,template
powerlink I want to confirm location and report issue,confirm_location_and_report_issue,noisy_mixed,electricity_board_flow,action,noise
view issue details open karanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
mata transformer getalu report karanna,select_transformer_issues,si_latin,electricity_board_report,select_board_category,template
my account pennanna,open_account,mixed_latin,bottom_navigation,navigation,mixed_en_alias
photo ekak add karanna තෝරන්න,add_photo,mixed_script,report_flow,action,mixed_ro_alias
please stop searching,cancel_request,en,technician_flow,action,template
current location eka use karanna button eka press karanna,use_current_location,si_latin,location,action,template
create report for maintenance shutdown,select_substation_issues,en,electricity_board_report,select_board_category,template
create report for meter or service line issues,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
දැවෙන සුවඳ වාර්තා කරන්න,select_burning_smell,si_script,safety_related_issues,select_issue,template
tap විදුලි රැහැන් හානිය,select_damaged_power_lines,mixed_script,infrastructure_issues,select_issue,mixed_si_alias
navigate to support,open_help_support,en,account,navigation,template
can you ඡායාරූපයක් එක් කරන්න,add_photo,mixed_script,report_flow,action,mixed_si_alias
continue with cancel,cancel_dialog,en,dialog,action,template
select some houses power outage,select_partial_power_outage,en,power_supply_issues,select_issue,template
scheduled power cut problem ekak thiyenawa,select_scheduled_power_cut,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
home eka pennanna,go_home,si_latin,bottom_navigation,navigation,template
my issue is weather related damage,select_weather_related_damage,en,electricity_board_report,select_board_category,template
kalin page ekata ekata yanna,go_back,si_latin,global,navigation,template
meter pettiya kadila eka open karanna,select_broken_meter_box,si_latin,infrastructure_issues,select_issue,template
current enawa yanawa,select_intermittent_supply,si_latin,power_supply_issues,select_issue,direct
service line damage report karanna,select_meter_or_service_line_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
power line faults eka eka thoranna,select_power_line_faults,si_latin,electricity_board_report,select_board_category,template
I want to no cancel,cancel_dialog,en,dialog,action,template
exit account button eka press karanna,logout,mixed_latin,account,action,mixed_en_alias
අර්ධ විදුලිය විසන්ධි වීම තෝරන්න,select_partial_power_outage,si_script,power_supply_issues,select_issue,template
ඡායාරූපයක් එක් කරන්න කරන්න,add_photo,si_script,report_flow,action,template
open this report open karanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
machan mata English walata maru karanna one දැන්,change_language,noisy_mixed,account,action,noise
submit option eka tap karanna,submit_report,mixed_latin,dialog,action,mixed_en_alias
select safety issues,open_safety_related_issues,en,home,navigation,template
hey app please review report karanna දැන්,review_and_confirm_issue,noisy_mixed,electricity_board_flow,action,noise
support,open_help_support,en,account,navigation,direct
I want to අවලංගු කරන්න,cancel_dialog,mixed_script,dialog,action,mixed_si_alias
fluctuating voltage eka ගැටළුවක් තියෙනවා,select_fluctuating_voltage,mixed_script,voltage_technical_issues,select_issue,mixed_ro_alias
search eka nathara karanna button eka press karanna,cancel_request,si_latin,technician_flow,action,template
report voltage fluctuation,select_fluctuating_voltage,en,voltage_technical_issues,select_issue,template
mata scheduled power cut eka report karanna,select_scheduled_power_cut,si_latin,power_supply_issues,select_issue,template
මට connection issue eka වාර්තා කරන්න,select_device_connectivity,mixed_script,monitoring_device_issues,select_issue,mixed_ro_alias
electric shock risk kiyana option eka select karanna,select_electric_shock_risk,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
device connectivity,select_device_connectivity,en,monitoring_device_issues,select_issue,direct
move to account page,open_account,en,bottom_navigation,navigation,template
pole damaged eka thoranna,select_pole_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
unknown or investigation required issue eka,select_unknown_investigation_required,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
technical getalu විවෘත කරන්න,open_voltage_technical_issues,mixed_script,home,navigation,mixed_ro_alias
tap some houses power outage,select_partial_power_outage,en,power_supply_issues,select_issue,template
short circuit or fire kiyana option eka select karanna,select_short_circuit_or_fire,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
use power line faults,select_power_line_faults,en,electricity_board_report,select_board_category,template
low voltage eka open karanna,select_low_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
profile edit karanna pennanna,open_profile_settings,si_latin,account,navigation,template
damaged power lines select karanna,select_damaged_power_lines,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
tap pole leaning,select_pole_issues,en,electricity_board_report,select_board_category,template
construction damage to cables report karanna,select_external_or_human_causes,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
area power failure,select_area_power_failure,en,electricity_board_report,select_board_category,direct
smart meter issue eka report karanna,select_smart_meter_issue,si_latin,monitoring_device_issues,select_issue,template
my reports eka tap karanna,open_activities,mixed_latin,bottom_navigation,navigation,mixed_en_alias
damaged power lines issue eka,select_damaged_power_lines,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
burning smell eka report karanna,select_burning_smell,si_latin,safety_related_issues,select_issue,template
submit wunata passe activities වෙත යන්න,view_activities,mixed_script,success_dialog,navigation,mixed_ro_alias
press cancel,cancel_dialog,en,dialog,action,template
please no cancel,cancel_dialog,en,dialog,action,template
my issue is bulbs dimming,select_dim_lights,en,voltage_technical_issues,select_issue,template
I have connectivity problem,select_device_connectivity,en,monitoring_device_issues,select_issue,template
open නිරාවරණය වූ වයර්,select_exposed_wiring,mixed_script,safety_related_issues,select_issue,mixed_si_alias
open support,open_help_support,en,account,navigation,template
පින්තූරයක් එකතු කරන්න කරන්න,add_photo,si_script,report_flow,action,template
සෙවීම නවත්වන්න කරන්න for me,cancel_request,noisy_mixed,technician_flow,action,noise
I want to open fire hazards,open_safety_related_issues,en,home,navigation,template
විදුලිය වැදීමේ අවදානම ලෙස සටහන් කරන්න,select_electric_shock_risk,si_script,safety_related_issues,select_issue,template
stop searching karanna,cancel_request,mixed_latin,technician_flow,action,mixed_en_alias
please find address,search_location,en,location,action,template
review karala confirm karanna කරන්න,review_and_confirm_issue,mixed_script,electricity_board_flow,action,mixed_ro_alias
mark short circuit or fire,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
activity details open karanna open karanna,open_activity_details,si_latin,activities,navigation,template
create report for short circuit or fire,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
show me ආරක්ෂාව සම්බන්ධ ගැටළු,open_safety_related_issues,mixed_script,home,navigation,mixed_si_alias
fluctuating voltage eka issue eka,select_fluctuating_voltage,si_latin,voltage_technical_issues,select_issue,template
can you can you පින්තූරයක් එකතු කරන්න please app,add_photo,noisy_mixed,report_flow,action,noise
accident hit electric pole problem ekak thiyenawa,select_external_or_human_causes,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
account eka pennanna,open_account,si_latin,bottom_navigation,navigation,template
location page ekata yanna,continue_to_location,si_latin,report_flow,action,direct
sudden power loss eka,select_sudden_power_loss,si_latin,power_supply_issues,select_issue,direct
back wenna eka tap karanna,go_back,si_latin,global,navigation,template
show service history,view_activities,en,success_dialog,navigation,direct
ස්මාර්ට් මීටර් ගැටළුව ගැටළුවක් තියෙනවා,select_smart_meter_issue,si_script,monitoring_device_issues,select_issue,template
account eka tap karanna,open_account,mixed_latin,bottom_navigation,navigation,mixed_en_alias
open කැඩුණු මීටර් පෙට්ටිය,select_broken_meter_box,mixed_script,infrastructure_issues,select_issue,mixed_si_alias
tap මගේ ස්ථානය ගන්න,use_current_location,mixed_script,location,action,mixed_si_alias
can you ඉදිරියට යන්න,continue_next,mixed_script,report_flow,action,mixed_si_alias
create report for investigation required,select_unknown_investigation_required,en,electricity_board_report,select_board_category,template
tap වාර්තාව යවන්න,submit_report,mixed_script,dialog,action,mixed_si_alias
I want to ස්ථානය සැකසීමට යන්න,continue_to_location,mixed_script,report_flow,action,mixed_si_alias
my issue is substation issues,select_substation_issues,en,electricity_board_report,select_board_category,template
complete blackout report karanna,select_complete_power_outage,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
smart meter issue eka ගැටළුවක් තියෙනවා,select_smart_meter_issue,mixed_script,monitoring_device_issues,select_issue,mixed_ro_alias
please යවන්න,submit_report,mixed_script,dialog,action,mixed_si_alias
there is voltage going up and down,select_fluctuating_voltage,en,voltage_technical_issues,select_issue,template
my issue is unknown or investigation required,select_unknown_investigation_required,en,electricity_board_report,select_board_category,template
bare wires issue,select_exposed_wiring,en,safety_related_issues,select_issue,template
I have loose service connection,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
tap voltage problems,open_voltage_technical_issues,en,home,navigation,template
go to profile account,open_account,en,bottom_navigation,navigation,template
sparks from meter eka thoranna,select_sparks_from_meter,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
I want to report connectivity problem,select_device_connectivity,en,monitoring_device_issues,select_issue,template
can you please technicians hoyanna karanna for me,find_available_technicians,noisy_mixed,technician_flow,action,noise
home page ekata yanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
continue with look for electricians,find_available_technicians,en,technician_flow,action,template
mata device issues eka open karanna,open_monitoring_device_issues,si_latin,home,navigation,template
app information pennanna,open_about_us,mixed_latin,account,navigation,mixed_en_alias
please find address karanna,search_location,mixed_latin,location,action,mixed_en_alias
please meter getalu open karanna,open_monitoring_device_issues,si_latin,home,navigation,template
navigate to home,go_home,en,bottom_navigation,navigation,template
can you add photo,add_photo,en,report_flow,action,template
I want to report service line damage,select_meter_or_service_line_issues,en,electricity_board_report,select_board_category,template
press go next,continue_next,en,report_flow,action,template
මට service line damage eka වාර්තා කරන්න,select_meter_or_service_line_issues,mixed_script,electricity_board_report,select_board_category,mixed_ro_alias
service history eka,open_activities,si_latin,bottom_navigation,navigation,direct
sparks from meter problem ekak thiyenawa,select_sparks_from_meter,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
can you submit,submit_report,en,dialog,action,template
issue eka submit karanna karanna,confirm_location_and_report_issue,si_latin,electricity_board_flow,action,template
tap dim lights,select_dim_lights,en,voltage_technical_issues,select_issue,template
total power outage report karanna,select_complete_power_outage,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
pole damaged problem,select_pole_issues,en,electricity_board_report,select_board_category,template
please select sparking meter,select_sparks_from_meter,en,safety_related_issues,select_issue,template
select pole and wire issues,open_infrastructure_issues,en,home,navigation,template
I want to find available technicians,confirm_location_technician,en,technician_flow,action,template
open දෝෂ සහිත මීටර් කියවීම,select_faulty_meter_reading,mixed_script,monitoring_device_issues,select_issue,mixed_si_alias
open සැලසුම් කල විදුලි කප්පාදුව,select_scheduled_power_cut,mixed_script,power_supply_issues,select_issue,mixed_si_alias
I want to open back,go_back,en,global,navigation,template
power line faults eka,select_power_line_faults,si_latin,electricity_board_report,select_board_category,direct
use damaged power lines,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
විදුලි කණුව වැටීම වාර්තා කරන්න,select_fallen_pole,si_script,infrastructure_issues,select_issue,template
mage location eka ganna බොත්තම ඔබන්න,use_current_location,mixed_script,location,action,mixed_ro_alias
choose ලයිට් අඳුරු වෙනවා,select_dim_lights,mixed_script,voltage_technical_issues,select_issue,mixed_si_alias
please open go back,go_back,en,global,navigation,template
show me activity history,open_activities,en,bottom_navigation,navigation,template
mata show service history open karanna,view_activities,mixed_latin,success_dialog,navigation,mixed_en_alias
choose උපාංග සම්බන්ධතා ගැටළුව,select_device_connectivity,mixed_script,monitoring_device_issues,select_issue,mixed_si_alias
upload photo button eka press karanna,add_photo,mixed_latin,report_flow,action,mixed_en_alias
report eka check karanna බොත්තම ඔබන්න දැන්,review_and_confirm_issue,noisy_mixed,electricity_board_flow,action,noise
intermittent supply issue,select_intermittent_supply,en,power_supply_issues,select_issue,template
do close dialog,cancel_dialog,en,dialog,action,template
meter service line issue issue eka,select_meter_or_service_line_issues,si_latin,electricity_board_report,select_board_category,template
open wires tiyanawa ලෙස සටහන් කරන්න,select_exposed_wiring,mixed_script,safety_related_issues,select_issue,mixed_ro_alias
use fluctuating voltage,select_fluctuating_voltage,en,voltage_technical_issues,select_issue,template
unstable power supply issue eka,select_intermittent_supply,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
damaged wires eka thoranna,select_damaged_power_lines,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
go to activities after submit eka tap karanna,view_activities,mixed_latin,success_dialog,navigation,mixed_en_alias
planned power cut eka open karanna,select_scheduled_power_cut,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
powerlink I want to වාර්තාව සමාලෝචනය කරන්න,review_and_confirm_issue,noisy_mixed,electricity_board_flow,action,noise
partial power outage eka විකල්පය තෝරන්න,select_partial_power_outage,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
burning smell,select_burning_smell,en,safety_related_issues,select_issue,direct
I have device connection issue,select_device_connectivity,en,monitoring_device_issues,select_issue,template
select voltage problems,open_voltage_technical_issues,en,home,navigation,template
මට අධි වෝල්ටීයතාවය වාර්තා කරන්න,select_high_voltage,si_script,voltage_technical_issues,select_issue,template
I want to open report area power outage,open_report_to_electricity_board,en,home,navigation,template
open sparking meter,select_sparks_from_meter,en,safety_related_issues,select_issue,template
broken power line,select_power_line_faults,en,electricity_board_report,select_board_category,direct
area outage report open karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
choose repeated power cuts,select_area_power_failure,en,electricity_board_report,select_board_category,template
power keeps coming and going select karanna,select_intermittent_supply,mixed_latin,power_supply_issues,select_issue,mixed_en_alias
sparks and safety risks open karanna,open_safety_related_issues,mixed_latin,home,navigation,mixed_en_alias
dashboard ekata yanna,go_home,mixed_latin,bottom_navigation,navigation,mixed_en_alias
mata broken power line report karanna,select_power_line_faults,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
I want to ඉංග්‍රීසිට මාරු කරන්න for me,change_language,noisy_mixed,account,action,noise
අඩු විදුලි බලය ලෙස සටහන් කරන්න,select_low_voltage,si_script,voltage_technical_issues,select_issue,template
මට activities eka විවෘත කරන්න,open_activities,mixed_script,bottom_navigation,navigation,mixed_ro_alias
power supply issues eka,open_power_supply_issues,si_latin,home,navigation,direct
there is sudden power loss,select_sudden_power_loss,en,power_supply_issues,select_issue,template
short circuit wela eka open karanna,select_short_circuit_or_fire,si_latin,electricity_board_report,select_board_category,template
unknown or investigation required eka thoranna,select_unknown_investigation_required,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
select electricity board report,open_report_to_electricity_board,en,home,navigation,template
connection issue eka problem ekak thiyenawa,select_device_connectivity,si_latin,monitoring_device_issues,select_issue,template
use connectivity problem,select_device_connectivity,en,monitoring_device_issues,select_issue,template
need help,open_help_support,en,account,navigation,direct
I have unknown or investigation required,select_unknown_investigation_required,en,electricity_board_report,select_board_category,template
substation issues eka problem ekak thiyenawa,select_substation_issues,si_latin,electricity_board_report,select_board_category,template
please ilaga step ekata yanna karanna,continue_next,si_latin,report_flow,action,template
tap connectivity problem,select_device_connectivity,en,monitoring_device_issues,select_issue,template
submit issue to electricity board karanna,confirm_location_and_report_issue,mixed_latin,electricity_board_flow,action,mixed_en_alias
open activity details ekata yanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
use voltage too high,select_high_voltage,en,voltage_technical_issues,select_issue,template
please pole wire getalu open karanna quickly,open_infrastructure_issues,noisy_mixed,home,navigation,noise
ardha current nathi weema kiyana option eka select karanna,select_partial_power_outage,si_latin,power_supply_issues,select_issue,template
මීටරයෙන් ස්පාර්ක් වාර්තා කරන්න,select_sparks_from_meter,si_script,safety_related_issues,select_issue,template
නිරාවරණය වූ වයර් ලෙස සටහන් කරන්න,select_exposed_wiring,si_script,safety_related_issues,select_issue,template
report broken power line,select_power_line_faults,en,electricity_board_report,select_board_category,template
I have damaged power lines,select_damaged_power_lines,en,infrastructure_issues,select_issue,template
show report details open karanna,open_activity_details,mixed_latin,activities,navigation,mixed_en_alias
please select partial outage,select_partial_power_outage,en,power_supply_issues,select_issue,template
can you mata location eka search karanna one,search_location,noisy_mixed,location,action,noise
transformer problem eka thoranna,select_transformer_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
please ehema epa karanna,cancel_dialog,si_latin,dialog,action,template
open report to electricity board,open_report_to_electricity_board,en,home,navigation,template
මීටර් කියවීම වැරදි ගැටළුවක් තියෙනවා,select_faulty_meter_reading,si_script,monitoring_device_issues,select_issue,template
mata previous page open karanna,go_back,mixed_latin,global,navigation,mixed_en_alias
ilaga step ekata yanna කරන්න,continue_next,mixed_script,report_flow,action,mixed_ro_alias
damaged power lines eka ලෙස සටහන් කරන්න,select_damaged_power_lines,mixed_script,infrastructure_issues,select_issue,mixed_ro_alias
meteren pupuru gahanawa ලෙස සටහන් කරන්න,select_sparks_from_meter,mixed_script,safety_related_issues,select_issue,mixed_ro_alias
partial power outage eka වාර්තා කරන්න,select_partial_power_outage,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
මට wadi voltage eka වාර්තා කරන්න,select_high_voltage,mixed_script,voltage_technical_issues,select_issue,mixed_ro_alias
meter burning eka thoranna,select_meter_or_service_line_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
choose විවෘත වයර්,select_exposed_wiring,mixed_script,safety_related_issues,select_issue,mixed_si_alias
voltage fluctuation problem,select_fluctuating_voltage,en,voltage_technical_issues,select_issue,template
ලිපිනය සොයන්න,search_location,si_script,location,action,direct
report area power outage eka tap karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
please my account open karanna,open_account,mixed_latin,bottom_navigation,navigation,mixed_en_alias
short circuit,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,direct
pole leaning problem ekak thiyenawa,select_pole_issues,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
create report for intermittent supply,select_intermittent_supply,en,power_supply_issues,select_issue,template
arakshawa sambandha getalu වෙත යන්න,open_safety_related_issues,mixed_script,home,navigation,mixed_ro_alias
display open this report,open_activity_details,en,activities,navigation,template
tap home,go_home,en,bottom_navigation,navigation,template
please ඡායාරූපයක් එක් කරන්න,add_photo,mixed_script,report_flow,action,mixed_si_alias
language maru karanna karanna,change_language,si_latin,account,action,template
weather related damage problem ekak thiyenawa,select_weather_related_damage,mixed_latin,electricity_board_report,select_board_category,mixed_en_alias
need help open karanna,open_help_support,mixed_latin,account,navigation,mixed_en_alias
can you සමර්පණය කරන්න,submit_report,mixed_script,dialog,action,mixed_si_alias
please my reports open karanna,open_activities,mixed_latin,bottom_navigation,navigation,mixed_en_alias
intermittent supply eka ලෙස සටහන් කරන්න,select_intermittent_supply,mixed_script,power_supply_issues,select_issue,mixed_ro_alias
I want to open show report details,open_activity_details,en,activities,navigation,template
continue with exit account,logout,en,account,action,template
විදුලි ෂොක් අවදානම වාර්තා කරන්න,select_electric_shock_risk,si_script,safety_related_issues,select_issue,template
tap open location screen,continue_to_location,en,report_flow,action,template
move to area outage report,open_report_to_electricity_board,en,home,navigation,template
location eka search karanna,search_location,si_latin,location,action,direct
can you පින්තූරයක් එකතු කරන්න,add_photo,mixed_script,report_flow,action,mixed_si_alias
create report for low power voltage,select_low_voltage,en,voltage_technical_issues,select_issue,template
දෝෂ සහිත මීටර් කියවීම වාර්තා කරන්න,select_faulty_meter_reading,si_script,monitoring_device_issues,select_issue,template
kanuwa wetila eka open karanna,select_fallen_pole,si_latin,infrastructure_issues,select_issue,template
mata sparks from meter report karanna,select_sparks_from_meter,mixed_latin,safety_related_issues,select_issue,mixed_en_alias
please report to electricity board open karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
please about us open karanna,open_about_us,mixed_latin,account,navigation,mixed_en_alias
කඩා වැටුණු කණුව තෝරන්න,select_fallen_pole,si_script,infrastructure_issues,select_issue,template
mark accident hit electric pole,select_external_or_human_causes,en,electricity_board_report,select_board_category,template
